"sr_no","job_title","company","date_posted","city","province","country","url"
"0","Director: Data & Analytics","Hays","2024-07-28 07:39:36+00:00","-","-","Canada","https://www.adzuna.ca/details/4798644654?utm_medium=api&utm_source=0c9ff2ac"
"1","Senior Manager Data Analytics","Hays","2024-07-28 07:39:02+00:00","Winnipeg region","Manitoba","Canada","https://www.adzuna.ca/details/4798644114?utm_medium=api&utm_source=0c9ff2ac"
"2","Project Manager - Data & Analytics (31630)","Myticas Consulting","2024-07-28 07:36:50+00:00","Montréal North","Québec","Canada","https://www.adzuna.ca/details/4798643095?utm_medium=api&utm_source=0c9ff2ac"
"3","Director Data & Analytics: FP&A","lululemon","2024-07-27 16:50:49+00:00","Greater Vancouver","British Columbia","Canada","https://www.adzuna.ca/details/4797820749?utm_medium=api&utm_source=0c9ff2ac"
"4","Director: Data Analytics","Hootsuite","2024-07-27 12:10:16+00:00","-","-","Canada","https://www.adzuna.ca/details/4797686266?utm_medium=api&utm_source=0c9ff2ac"
"5","Data Analytics with AWS","Zortech Solutions Inc","2024-07-26 12:05:07+00:00","-","-","Canada","https://www.adzuna.ca/details/4796480240?utm_medium=api&utm_source=0c9ff2ac"
"6","Data Analytics/USer research-Canada","Zortechsolutions","2024-07-26 11:55:47+00:00","-","-","Canada","https://www.adzuna.ca/details/4796477242?utm_medium=api&utm_source=0c9ff2ac"
"7","Data Analytics Specialist","University of Alberta","2024-07-23 11:47:04+00:00","-","-","Canada","https://www.adzuna.ca/details/4791917061?utm_medium=api&utm_source=0c9ff2ac"
"8","Senior Manager - Data Analytics (Retail)","Adecco Canada","2024-07-22 19:59:22+00:00","Winnipeg region","Manitoba","Canada","https://www.adzuna.ca/details/4790929990?utm_medium=api&utm_source=0c9ff2ac"
"9","Manager - Data Analytics","Banque Scotia ","2024-07-22 14:53:08+00:00","Toronto Dominion Centre","Ontario","Canada","https://www.adzuna.ca/details/4790723417?utm_medium=api&utm_source=0c9ff2ac"
