job_title,company,date_posted,city,province,country,url
Senior Director: Data & Analytics,Arc'Teryx Equipment Inc.,2024-03-18 14:47:23+00:00,Westboro,Ontario,Canada,https://www.adzuna.ca/details/4612549826?utm_medium=api&utm_source=0c9ff2ac
Product Owner: Data & Analytics Practice,British Columbia Lottery Corporation,2024-03-18 14:47:07+00:00,-,-,Canada,https://www.adzuna.ca/details/4612548268?utm_medium=api&utm_source=0c9ff2ac
2024 Summer Student- Research: Measurement and Data Analytics,Government of Canada,2024-03-17 14:26:33+00:00,Westboro,Ontario,Canada,https://www.adzuna.ca/details/4611686205?utm_medium=api&utm_source=0c9ff2ac
2024 Summer Intern Program - Data Analytics Intern,CDW,2024-03-17 06:01:49+00:00,Calgary,Alberta,Canada,https://www.adzuna.ca/details/4611251418?utm_medium=api&utm_source=0c9ff2ac
2024 Summer Intern Program - Data Analytics Intern,CDW,2024-03-16 19:39:08+00:00,Edmonton,Alberta,Canada,https://www.adzuna.ca/details/4610976012?utm_medium=api&utm_source=0c9ff2ac
2024 Summer Intern Program - Data Analytics Intern,Local Work,2024-03-16 17:44:34+00:00,Greater Vancouver,British Columbia,Canada,https://www.adzuna.ca/details/4610912591?utm_medium=api&utm_source=0c9ff2ac
Data & Analytics Engagement Lead - Principal,Slalom,2024-03-16 14:30:21+00:00,Saddledome,Alberta,Canada,https://www.adzuna.ca/details/4610779871?utm_medium=api&utm_source=0c9ff2ac
Product Owner: Data & Analytics Practice,BCLC,2024-03-16 08:57:43+00:00,Kamloops,British Columbia,Canada,https://www.adzuna.ca/details/4610264532?utm_medium=api&utm_source=0c9ff2ac
Data Analytics Manager,Volkswagen Group Canada,2024-03-15 19:45:22+00:00,Ajax,Ontario,Canada,https://www.adzuna.ca/details/4609624960?utm_medium=api&utm_source=0c9ff2ac
UPCOMING: Senior Software Engineer: Data Analytics,SoundHound,2024-03-14 14:32:00+00:00,Toronto Dominion Centre,Ontario,Canada,https://www.adzuna.ca/details/4607697514?utm_medium=api&utm_source=0c9ff2ac
Project Manager I: Data & Analytics,Vancouver Coastal Health,2024-03-14 14:30:26+00:00,Hastings-Sunrise,British Columbia,Canada,https://www.adzuna.ca/details/4607686637?utm_medium=api&utm_source=0c9ff2ac
2024 Summer Student- Research: Measurement and Data Analytics,Canadian Job Bank,2024-03-14 06:00:10+00:00,Ottawa,Ontario,Canada,https://www.adzuna.ca/details/4606747666?utm_medium=api&utm_source=0c9ff2ac
Analyst Data & Analytics,Canada Life,2024-03-14 06:00:00+00:00,Toronto,Ontario,Canada,https://www.adzuna.ca/details/4606746578?utm_medium=api&utm_source=0c9ff2ac
Data Analytics & Implementation Intern,Deighton Associates Ltd.,2024-03-13 19:52:18+00:00,Whitby,Ontario,Canada,https://www.adzuna.ca/details/4606194728?utm_medium=api&utm_source=0c9ff2ac
Senior Audit Manager (Quant/Data Analytics),Citigroup Inc.,2024-03-11 14:34:52+00:00,Mississauga,Ontario,Canada,https://www.adzuna.ca/details/4602969717?utm_medium=api&utm_source=0c9ff2ac
Data Product Analyst: Enterprise Data & Analytics,Quadreal,2024-03-11 14:34:43+00:00,Toronto Dominion Centre,Ontario,Canada,https://www.adzuna.ca/details/4602968727?utm_medium=api&utm_source=0c9ff2ac
Summer Student Data Analytics (Health Services),Canadian Pacific Railway ,2024-03-11 14:34:33+00:00,Saddledome,Alberta,Canada,https://www.adzuna.ca/details/4602967516?utm_medium=api&utm_source=0c9ff2ac
