job_title,company,date_posted,city,province,country,url
Data Engineer,CGI Group Inc.,2024-03-18 14:47:52+00:00,Regina,Saskatchewan,Canada,https://www.adzuna.ca/details/4612552585?utm_medium=api&utm_source=0c9ff2ac
Data Engineer,Rio Tinto,2024-03-18 14:47:50+00:00,Chaldecutt,British Columbia,Canada,https://www.adzuna.ca/details/4612552421?utm_medium=api&utm_source=0c9ff2ac
Data Engineer,Playfair Tech],2024-03-18 10:17:39+00:00,Toronto,Ontario,Canada,https://www.adzuna.ca/details/4612283776?utm_medium=api&utm_source=0c9ff2ac
Data Engineer,I-cube Software Llc],2024-03-18 10:17:33+00:00,Toronto,Ontario,Canada,https://www.adzuna.ca/details/4612283285?utm_medium=api&utm_source=0c9ff2ac
Data Engineer,Synapse,2024-03-18 05:58:39+00:00,Greater Vancouver,British Columbia,Canada,https://www.adzuna.ca/details/4612032864?utm_medium=api&utm_source=0c9ff2ac
Data Engineer,Mariner,2024-03-17 19:49:24+00:00,Halifax,Nova Scotia,Canada,https://www.adzuna.ca/details/4611782478?utm_medium=api&utm_source=0c9ff2ac
Data Engineer,Rio Tinto,2024-03-17 19:49:22+00:00,Vancouver,British Columbia,Canada,https://www.adzuna.ca/details/4611782367?utm_medium=api&utm_source=0c9ff2ac
Staff Data Engineer,Rakuten,2024-03-17 14:26:23+00:00,Toronto Dominion Centre,Ontario,Canada,https://www.adzuna.ca/details/4611684478?utm_medium=api&utm_source=0c9ff2ac
Principal Data Engineer,Daifuku Co,2024-03-17 08:55:46+00:00,Calgary,Alberta,Canada,https://www.adzuna.ca/details/4611362632?utm_medium=api&utm_source=0c9ff2ac
Data Engineer,Equest,2024-03-17 08:55:06+00:00,Halifax region,Nova Scotia,Canada,https://www.adzuna.ca/details/4611362492?utm_medium=api&utm_source=0c9ff2ac
Data Engineer,CGI Group Inc,2024-03-17 06:01:44+00:00,Regina region,Saskatchewan,Canada,https://www.adzuna.ca/details/4611250623?utm_medium=api&utm_source=0c9ff2ac
Data Engineer,ABC Fitness Solutions,2024-03-16 14:30:18+00:00,Ontario,Ontario,Canada,https://www.adzuna.ca/details/4610779547?utm_medium=api&utm_source=0c9ff2ac
Data Engineer,ABC Fitness Solutions,2024-03-16 14:30:17+00:00,-,-,Canada,https://www.adzuna.ca/details/4610779423?utm_medium=api&utm_source=0c9ff2ac
Lead Data Engineer,Altice USA Inc.,2024-03-16 14:30:13+00:00,Toronto Dominion Centre,Ontario,Canada,https://www.adzuna.ca/details/4610778843?utm_medium=api&utm_source=0c9ff2ac
Data Engineer,Eteam,2024-03-16 05:58:23+00:00,Toronto,Ontario,Canada,https://www.adzuna.ca/details/4610079658?utm_medium=api&utm_source=0c9ff2ac
Data Engineering Consultant,CGI Group,2024-03-16 05:58:17+00:00,Halifax region,Nova Scotia,Canada,https://www.adzuna.ca/details/4610078723?utm_medium=api&utm_source=0c9ff2ac
Lead Data Engineer,Altice,2024-03-15 19:45:14+00:00,Toronto,Ontario,Canada,https://www.adzuna.ca/details/4609624409?utm_medium=api&utm_source=0c9ff2ac
Azure Data Engineer,PSI CRO,2024-03-15 14:39:01+00:00,-,-,Canada,https://www.adzuna.ca/details/4609357496?utm_medium=api&utm_source=0c9ff2ac
Data Engineering Consultant,CGI Group Inc.,2024-03-15 14:28:53+00:00,Halifax,Nova Scotia,Canada,https://www.adzuna.ca/details/4609336252?utm_medium=api&utm_source=0c9ff2ac
Data Engineer,CGI Group Inc,2024-03-14 19:47:39+00:00,Halifax,Nova Scotia,Canada,https://www.adzuna.ca/details/4608162819?utm_medium=api&utm_source=0c9ff2ac
Data Engineer,Michael Page Canada,2024-03-14 19:47:23+00:00,Toronto,Ontario,Canada,https://www.adzuna.ca/details/4608161386?utm_medium=api&utm_source=0c9ff2ac
Data Engineering Lead,Alexa Translations,2024-03-13 21:15:24+00:00,Montréal,Québec,Canada,https://www.adzuna.ca/details/4606293242?utm_medium=api&utm_source=0c9ff2ac
Data Engineer,Government of Alberta,2024-03-13 06:12:11+00:00,Edmonton,Alberta,Canada,https://www.adzuna.ca/details/4605105541?utm_medium=api&utm_source=0c9ff2ac
Data Engineer,Colliers International,2024-03-08 13:42:05+00:00,Toronto Dominion Centre,Ontario,Canada,https://www.adzuna.ca/details/4599447492?utm_medium=api&utm_source=0c9ff2ac
Data Engineer,Insight Global,2024-03-07 15:09:32+00:00,Calgary,Alberta,Canada,https://www.adzuna.ca/details/4598064394?utm_medium=api&utm_source=0c9ff2ac
Graph Data Engineer,Planview,2024-03-06 13:22:31+00:00,Chaldecutt,British Columbia,Canada,https://www.adzuna.ca/details/4596164709?utm_medium=api&utm_source=0c9ff2ac
Data Engineer,Manulife,2024-03-04 13:52:35+00:00,Waterloo,Ontario,Canada,https://www.adzuna.ca/details/4592067600?utm_medium=api&utm_source=0c9ff2ac
Data Engineer,Manulife,2024-03-02 15:05:29+00:00,Waterloo region,Ontario,Canada,https://www.adzuna.ca/details/4590435236?utm_medium=api&utm_source=0c9ff2ac
Data Engineer,Manulife,2024-03-02 15:05:21+00:00,Toronto,Ontario,Canada,https://www.adzuna.ca/details/4590434648?utm_medium=api&utm_source=0c9ff2ac
Data Engineer Manager,McCain Foods,2024-03-02 13:51:01+00:00,Toronto Dominion Centre,Ontario,Canada,https://www.adzuna.ca/details/4590333589?utm_medium=api&utm_source=0c9ff2ac
Data Engineer,SpotHero,2024-03-01 13:51:41+00:00,Toronto Dominion Centre,Ontario,Canada,https://www.adzuna.ca/details/4588714529?utm_medium=api&utm_source=0c9ff2ac
Data Engineer,Origineer Consulting Inc,2024-03-01 05:09:17+00:00,Burnaby,British Columbia,Canada,https://www.adzuna.ca/details/4587673720?utm_medium=api&utm_source=0c9ff2ac
Data Engineer Manager,McCain Foods,2024-03-01 05:03:23+00:00,Toronto,Ontario,Canada,https://www.adzuna.ca/details/4587627452?utm_medium=api&utm_source=0c9ff2ac
Data Engineer,Appcast,2024-02-29 13:47:32+00:00,Lower St. Marys,New Brunswick,Canada,https://www.adzuna.ca/details/4586732951?utm_medium=api&utm_source=0c9ff2ac
TSS Data Engineer,Ausenco,2024-02-28 13:50:39+00:00,Saddledome,Alberta,Canada,https://www.adzuna.ca/details/4585491841?utm_medium=api&utm_source=0c9ff2ac
