"sr.no","job_title","company","date_posted","city","province","country","url"
"0","Data Engineer","Agilus Work Solutions","2024-07-28 07:41:22+00:00","Toronto","Ontario","Canada","https://www.adzuna.ca/details/4798645788?utm_medium=api&utm_source=0c9ff2ac"
"1","Data Engineer","Organigram Inc","2024-07-28 07:39:23+00:00","Toronto","Ontario","Canada","https://www.adzuna.ca/details/4798644468?utm_medium=api&utm_source=0c9ff2ac"
"2","Data Engineer","Vaco","2024-07-28 07:39:22+00:00","-","-","Canada","https://www.adzuna.ca/details/4798644460?utm_medium=api&utm_source=0c9ff2ac"
"3","Data Engineer","Capgemini","2024-07-28 07:36:18+00:00","-","-","Canada","https://www.adzuna.ca/details/4798643020?utm_medium=api&utm_source=0c9ff2ac"
"4","Data Engineering","Avanade","2024-07-28 06:48:17+00:00","Halifax region","Nova Scotia","Canada","https://www.adzuna.ca/details/4798640805?utm_medium=api&utm_source=0c9ff2ac"
"5","Data Engineer","Crypto Recruit","2024-07-27 17:16:42+00:00","Toronto","Ontario","Canada","https://www.adzuna.ca/details/4797858736?utm_medium=api&utm_source=0c9ff2ac"
"6","Data Engineering","Avanade Inc.","2024-07-27 16:11:52+00:00","Toronto","Ontario","Canada","https://www.adzuna.ca/details/4797810855?utm_medium=api&utm_source=0c9ff2ac"
"7","Data Engineer","Procom","2024-07-27 02:17:56+00:00","Waterloo","Ontario","Canada","https://www.adzuna.ca/details/4797251646?utm_medium=api&utm_source=0c9ff2ac"
"8","Data Engineer","recruitometry","2024-07-25 20:14:16+00:00","Central Bay Street","Ontario","Canada","https://www.adzuna.ca/details/4795647927?utm_medium=api&utm_source=0c9ff2ac"
"9","Data Engineer","Insight Global","2024-07-25 16:08:07+00:00","Burnaby","British Columbia","Canada","https://www.adzuna.ca/details/4795452855?utm_medium=api&utm_source=0c9ff2ac"
